"offensePlayer1Id","offensePlayer2Id","offensePlayer3Id","offensePlayer4Id","offensePlayer5Id","defensePlayer1Id","defensePlayer2Id","defensePlayer3Id","defensePlayer4Id","defensePlayer5Id","offenseTeam","defenseTeam","points","possessions","home","ast","oreb","dreb","blk","stl","tov","pf","fgm","fga","x3m","x3a","ftm","fta","id"
"1563","185","1924","2594","947","2048","2072","2250","2429","2590",1610612755,1610612749,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,"0020500001"
"1563","185","2212","2422","947","101106","2048","2072","2294","2590",1610612755,1610612749,5,3,1,2,1,2,0,0,0,1,2,3,0,0,1,2,"0020500001"
"1563","185","2212","2594","947","2048","2072","2294","2429","2590",1610612755,1610612749,0,2,1,0,1,2,1,0,1,1,0,2,0,0,0,0,"0020500001"
"185","1924","2422","2594","2738","2250","2294","2429","2590","389",1610612755,1610612749,2,3,1,0,1,2,1,0,0,0,0,4,0,0,2,2,"0020500001"
"185","1924","2422","2594","947","101106","2048","2072","2250","2551",1610612755,1610612749,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,"0020500001"
"185","1924","2422","2594","947","101106","2072","2250","2551","389",1610612755,1610612749,4,4,1,1,0,0,0,0,0,3,2,4,0,1,0,0,"0020500001"
"185","1924","2422","2594","947","2048","2072","2250","2551","389",1610612755,1610612749,4,2,1,1,0,0,0,0,0,1,2,2,0,0,0,0,"0020500001"
"185","1924","2422","2738","947","2048","2072","2250","2551","389",1610612755,1610612749,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,"0020500001"
"185","1924","2422","2738","947","2048","2250","2294","2551","389",1610612755,1610612749,2,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,"0020500001"
"185","1924","2422","2738","947","2048","2250","2551","2590","389",1610612755,1610612749,7,3,1,2,1,0,0,1,0,1,3,4,1,1,0,0,"0020500001"
"185","1924","2594","2738","947","2048","2072","2250","2294","2429",1610612755,1610612749,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"0020500001"
"185","1924","2594","2738","947","2048","2072","2250","2429","2590",1610612755,1610612749,3,3,1,0,0,0,0,2,0,1,1,2,0,0,1,2,"0020500001"
"185","1924","2594","2738","947","2072","2250","2429","2590","389",1610612755,1610612749,10,7,1,3,0,1,1,0,1,1,4,5,0,0,2,2,"0020500001"
"185","2212","2422","2594","947","101106","2048","2072","2250","2551",1610612755,1610612749,12,18,1,3,1,5,1,0,2,5,4,17,2,4,2,3,"0020500001"
"185","2212","2422","2594","947","101106","2072","2250","2551","389",1610612755,1610612749,2,4,1,0,0,1,0,0,0,1,1,4,0,1,0,0,"0020500001"
"185","2212","2422","2738","947","101106","2048","2072","2250","2551",1610612755,1610612749,5,6,1,0,1,2,0,2,0,1,0,5,0,1,5,6,"0020500001"
"185","2212","2422","2738","947","101106","2048","2072","2294","2590",1610612755,1610612749,3,3,1,0,1,1,0,0,0,0,1,3,0,0,1,2,"0020500001"
"185","2212","2422","2738","947","101106","2072","2294","2429","2590",1610612755,1610612749,9,5,1,2,0,2,0,1,0,0,4,4,0,0,1,2,"0020500001"
"185","2212","2594","2738","947","101106","2048","2072","2250","2551",1610612755,1610612749,21,16,1,6,1,2,3,3,1,5,9,15,0,1,3,3,"0020500001"
"185","2594","2738","2839","947","101106","2048","2072","2250","2551",1610612755,1610612749,5,2,1,1,1,0,0,0,0,1,2,3,1,2,0,0,"0020500001"
"185","2594","2738","2839","947","101106","2072","2250","2429","2590",1610612755,1610612749,2,4,1,1,1,2,0,0,1,0,1,4,0,1,0,0,"0020500001"
"1924","2212","2422","2738","947","101106","2048","2072","2294","2551",1610612755,1610612749,2,2,1,0,0,0,0,0,0,0,0,1,0,0,2,2,"0020500001"
"1924","2212","2422","2738","947","101106","2048","2072","2294","2590",1610612755,1610612749,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,"0020500001"
"1924","2212","2422","2738","947","2048","2072","2294","2551","389",1610612755,1610612749,2,2,1,1,1,2,0,0,0,1,1,3,0,0,0,0,"0020500001"
"1924","2212","2422","2738","947","2072","2294","2429","2590","389",1610612755,1610612749,3,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,"0020500001"
"1924","2212","2422","2738","947","2250","2429","2551","2590","389",1610612755,1610612749,2,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,"0020500001"
"2072","2250","2429","2590","389","1563","185","1924","2594","2738",1610612749,1610612755,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"0020500001"
"2048","2072","2250","2429","2590","1563","185","1924","2594","947",1610612749,1610612755,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,"0020500001"
"101106","2048","2072","2294","2590","1563","185","2212","2422","947",1610612749,1610612755,0,2,0,0,2,0,0,0,0,1,0,4,0,0,0,0,"0020500001"
"101106","2048","2072","2294","2590","1563","185","2212","2594","947",1610612749,1610612755,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,"0020500001"
"2048","2072","2294","2429","2590","1563","185","2212","2594","947",1610612749,1610612755,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"0020500001"
"2250","2294","2429","2590","389","185","1924","2422","2594","2738",1610612749,1610612755,5,4,0,1,1,2,0,0,0,1,2,5,1,1,0,0,"0020500001"
"101106","2048","2072","2250","2551","185","1924","2422","2594","947",1610612749,1610612755,4,2,0,2,0,1,0,0,0,0,2,2,0,0,0,0,"0020500001"
"101106","2072","2250","2551","389","185","1924","2422","2594","947",1610612749,1610612755,7,3,0,1,1,2,0,0,0,0,1,2,0,0,5,5,"0020500001"
"2048","2072","2250","2551","389","185","1924","2422","2594","947",1610612749,1610612755,5,2,0,1,0,0,0,0,0,0,2,2,0,0,1,1,"0020500001"
"2048","2072","2250","2551","389","185","1924","2422","2738","947",1610612749,1610612755,3,2,0,0,0,0,0,1,0,0,0,1,0,1,3,3,"0020500001"
"2048","2250","2294","2551","389","185","1924","2422","2738","947",1610612749,1610612755,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0020500001"
"2048","2250","2551","2590","389","185","1924","2422","2738","947",1610612749,1610612755,4,3,0,1,0,0,0,0,1,0,1,1,1,1,1,2,"0020500001"
"2048","2072","2250","2429","2590","185","1924","2594","2738","947",1610612749,1610612755,3,4,0,0,0,1,0,0,2,1,1,2,0,0,1,1,"0020500001"
"2072","2250","2429","2590","389","185","1924","2594","2738","947",1610612749,1610612755,11,6,0,3,2,1,0,1,0,1,5,9,1,2,0,0,"0020500001"
"101106","2048","2072","2250","2551","185","2212","2422","2594","947",1610612749,1610612755,22,18,0,5,2,11,2,1,2,3,8,16,2,3,4,7,"0020500001"
"101106","2072","2250","2551","389","185","2212","2422","2594","947",1610612749,1610612755,6,4,0,2,0,3,0,0,0,0,2,3,0,0,2,2,"0020500001"
"101106","2048","2072","2250","2551","185","2212","2422","2738","947",1610612749,1610612755,6,7,0,0,1,3,0,0,3,5,2,4,0,0,2,2,"0020500001"
"101106","2048","2072","2294","2590","185","2212","2422","2738","947",1610612749,1610612755,2,2,0,1,0,2,0,0,0,1,1,2,0,1,0,0,"0020500001"
"101106","2072","2294","2429","2590","185","2212","2422","2738","947",1610612749,1610612755,4,5,0,1,1,0,0,0,1,1,2,6,0,1,0,0,"0020500001"
"101106","2048","2072","2250","2551","185","2212","2594","2738","947",1610612749,1610612755,19,16,0,5,2,4,0,0,4,3,8,13,1,1,2,2,"0020500001"
"101106","2048","2072","2250","2551","185","2594","2738","2839","947",1610612749,1610612755,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,"0020500001"
"101106","2072","2250","2429","2590","185","2594","2738","2839","947",1610612749,1610612755,2,3,0,0,1,2,1,0,0,0,1,4,0,1,0,0,"0020500001"
"101106","2048","2072","2294","2551","1924","2212","2422","2738","947",1610612749,1610612755,2,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,"0020500001"
"101106","2048","2072","2294","2590","1924","2212","2422","2738","947",1610612749,1610612755,6,4,0,2,1,3,0,0,1,1,3,4,0,0,0,0,"0020500001"
"2048","2072","2294","2551","389","1924","2212","2422","2738","947",1610612749,1610612755,2,3,0,0,0,1,0,0,0,1,0,2,0,1,2,2,"0020500001"
"2250","2429","2551","2590","389","1924","2212","2422","2738","947",1610612749,1610612755,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0020500001"
"101177","109","1477","1938","89","1761","1863","1889","2030","2059",1610612759,1610612743,8,7,1,1,3,1,2,0,0,1,3,9,0,1,2,2,"0020500002"
"101177","109","1938","714","89","1761","1863","2059","2546","948",1610612759,1610612743,5,3,1,1,0,2,0,0,0,0,2,3,1,1,0,0,"0020500002"
"101177","109","2225","699","714","1863","2059","2546","702","948",1610612759,1610612743,2,2,1,1,0,2,0,0,0,1,1,2,0,1,0,0,"0020500002"
"101177","109","699","714","89","1863","1922","2035","2059","702",1610612759,1610612743,0,5,1,0,0,3,0,0,3,3,0,2,0,1,0,0,"0020500002"
"101177","109","699","714","89","1863","2030","2035","2059","702",1610612759,1610612743,3,3,1,0,1,1,0,0,1,1,0,1,0,1,3,3,"0020500002"
"101177","1477","1495","1938","89","1761","1863","1889","2059","948",1610612759,1610612743,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"0020500002"
"101177","1495","2225","699","714","1863","1889","2546","702","948",1610612759,1610612743,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"0020500002"
"101177","1495","2225","699","714","1889","2030","2546","702","948",1610612759,1610612743,2,2,1,0,1,0,0,0,0,1,1,4,0,1,0,0,"0020500002"
"101177","1495","2225","699","714","1889","2059","2546","702","948",1610612759,1610612743,2,2,1,1,0,1,0,0,0,0,1,3,0,0,0,0,"0020500002"
"109","1477","1495","1938","2225","1889","2030","2546","702","948",1610612759,1610612743,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,"0020500002"
"109","1477","1495","1938","89","1761","1863","1889","2030","2059",1610612759,1610612743,3,2,1,1,0,0,0,1,0,1,1,2,1,2,0,0,"0020500002"
"109","1495","1938","2225","714","1889","2030","2546","702","948",1610612759,1610612743,8,4,1,0,0,1,0,0,0,0,2,2,0,0,4,5,"0020500002"
"109","1495","1938","2225","714","1889","2059","2546","702","948",1610612759,1610612743,3,2,1,0,1,1,0,0,0,0,1,2,0,0,1,1,"0020500002"
"109","1495","2225","699","714","1863","1889","1922","2035","2059",1610612759,1610612743,6,3,1,3,1,1,1,0,0,1,3,4,0,1,0,0,"0020500002"
"109","1495","2225","699","714","1863","1889","2030","2035","2059",1610612759,1610612743,4,2,1,2,0,1,0,0,0,0,2,2,0,0,0,0,"0020500002"
"109","1495","2225","699","714","1863","2403","2546","702","948",1610612759,1610612743,8,6,1,2,0,0,0,2,0,1,3,5,0,0,2,2,"0020500002"
"109","1495","2225","699","714","1889","2030","2546","702","948",1610612759,1610612743,4,2,1,1,1,2,0,0,0,0,2,3,0,0,0,0,"0020500002"
"109","1495","699","714","89","1889","2030","2059","2546","702",1610612759,1610612743,5,3,1,1,1,1,1,0,0,1,2,4,1,1,0,1,"0020500002"
"1477","1495","1725","1938","2225","1889","2030","2546","702","948",1610612759,1610612743,9,10,1,1,2,2,0,0,3,2,4,9,0,1,1,2,"0020500002"
"1477","1495","1725","2225","699","1863","1889","2546","702","948",1610612759,1610612743,4,6,1,0,0,0,1,1,2,2,2,4,0,0,0,0,"0020500002"
"1477","1495","1737","1938","2225","1889","2030","2059","2546","702",1610612759,1610612743,0,2,1,0,1,0,0,1,0,1,0,3,0,0,0,0,"0020500002"
"1477","1495","1737","1938","2225","1889","2030","2546","702","948",1610612759,1610612743,10,6,1,1,2,0,1,0,1,1,4,6,0,0,2,2,"0020500002"
"1477","1495","1737","1938","89","1889","2030","2059","2546","702",1610612759,1610612743,2,1,1,1,0,0,0,0,0,0,1,2,0,1,0,0,"0020500002"
"1495","1725","1938","2225","714","1889","2030","2546","702","948",1610612759,1610612743,2,5,1,0,0,2,1,0,2,1,1,3,0,0,0,0,"0020500002"
"1495","1737","1938","2225","714","1863","1889","2030","2546","948",1610612759,1610612743,8,4,1,3,1,2,0,0,0,1,3,4,1,1,1,2,"0020500002"
"1495","1737","1938","2225","714","1889","2030","2546","702","948",1610612759,1610612743,4,2,1,1,0,1,0,0,0,0,2,2,0,0,0,1,"0020500002"
"1761","1863","1889","2030","2059","101177","109","1477","1938","89",1610612743,1610612759,11,6,0,4,1,3,0,0,0,1,5,7,0,0,1,1,"0020500002"
"1761","1863","2059","2546","948","101177","109","1938","714","89",1610612743,1610612759,2,3,0,0,0,1,0,0,0,0,1,3,0,1,0,0,"0020500002"
"1863","2059","2546","702","948","101177","109","2225","699","714",1610612743,1610612759,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,"0020500002"
"1863","1922","2035","2059","702","101177","109","699","714","89",1610612743,1610612759,3,5,0,0,0,2,1,0,0,0,1,5,0,1,1,2,"0020500002"
"1863","2030","2035","2059","702","101177","109","699","714","89",1610612743,1610612759,2,2,0,1,0,0,0,1,0,1,1,2,0,0,0,0,"0020500002"
"1761","1863","1889","2059","948","101177","1477","1495","1938","89",1610612743,1610612759,2,2,0,0,0,1,1,0,0,0,1,2,0,0,0,0,"0020500002"
"1863","1889","2546","702","948","101177","1495","2225","699","714",1610612743,1610612759,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,"0020500002"
"1889","2030","2546","702","948","101177","1495","2225","699","714",1610612743,1610612759,3,2,0,1,2,1,0,0,0,0,1,3,0,0,1,2,"0020500002"
"1889","2059","2546","702","948","101177","1495","2225","699","714",1610612743,1610612759,2,2,0,0,2,1,1,0,0,0,1,4,0,2,0,0,"0020500002"
"1889","2030","2546","702","948","109","1477","1495","1938","2225",1610612743,1610612759,0,3,0,0,0,0,0,1,1,0,0,2,0,2,0,0,"0020500002"
"1761","1863","1889","2030","2059","109","1477","1495","1938","89",1610612743,1610612759,2,2,0,1,1,1,0,0,1,0,1,2,0,0,0,0,"0020500002"
"1889","2030","2546","702","948","109","1495","1938","2225","714",1610612743,1610612759,6,4,0,2,1,0,0,0,0,3,3,5,0,0,0,0,"0020500002"
"1889","2059","2546","702","948","109","1495","1938","2225","714",1610612743,1610612759,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0020500002"
"1863","1889","1922","2035","2059","109","1495","2225","699","714",1610612743,1610612759,4,3,0,1,0,0,0,0,0,0,2,3,0,0,0,1,"0020500002"
"1863","1889","2030","2035","2059","109","1495","2225","699","714",1610612743,1610612759,2,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,"0020500002"
"1863","2403","2546","702","948","109","1495","2225","699","714",1610612743,1610612759,2,5,0,1,1,2,0,0,4,2,1,2,0,0,0,0,"0020500002"
"1889","2030","2546","702","948","109","1495","2225","699","714",1610612743,1610612759,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,"0020500002"
"1889","2030","2059","2546","702","109","1495","699","714","89",1610612743,1610612759,3,3,0,1,1,1,0,0,0,1,1,3,0,0,1,2,"0020500002"
"1889","2030","2546","702","948","1477","1495","1725","1938","2225",1610612743,1610612759,13,10,0,3,0,3,0,1,2,3,6,8,0,0,1,1,"0020500002"
"1863","1889","2546","702","948","1477","1495","1725","2225","699",1610612743,1610612759,6,6,0,2,1,1,1,1,1,0,3,6,0,1,0,1,"0020500002"
"1889","2030","2059","2546","702","1477","1495","1737","1938","2225",1610612743,1610612759,4,3,0,0,0,2,0,0,1,0,1,1,0,0,2,2,"0020500002"
"1889","2030","2546","702","948","1477","1495","1737","1938","2225",1610612743,1610612759,8,6,0,3,1,1,0,1,2,3,4,6,0,0,0,0,"0020500002"
"1889","2030","2059","2546","702","1477","1495","1737","1938","89",1610612743,1610612759,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"0020500002"
