"offensePlayer1Id","offensePlayer2Id","offensePlayer3Id","offensePlayer4Id","offensePlayer5Id","defensePlayer1Id","defensePlayer2Id","defensePlayer3Id","defensePlayer4Id","defensePlayer5Id","offenseTeam","defenseTeam","points","possessions","home","ast","oreb","dreb","blk","stl","tov","pf","fgm","fga","x3m","x3a","ftm","fta","id"
"1627747","1627752","1628386","1629013","201145","1626162","1626172","1629672","201939","203145",1610612751,1610612744,0,3,1,0,0,1,0,0,3,1,0,0,0,0,0,0,"0022000001"
"1627747","1627752","1628386","1629013","201145","1626172","1627814","201939","203145","203952",1610612751,1610612744,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,"0022000001"
"1627747","1627752","1628386","1629013","201145","1627737","1627814","201939","203145","203952",1610612751,1610612744,4,4,1,0,0,1,0,0,1,0,1,2,0,0,2,2,"0022000001"
"1627747","1627752","1628386","1629013","201145","1627737","1629672","1629673","202954","203952",1610612751,1610612744,16,13,1,4,2,6,1,1,1,4,6,13,1,3,3,3,"0022000001"
"1627747","1627752","1628386","1629013","201145","1627737","1629672","201939","203145","203952",1610612751,1610612744,4,4,1,1,0,1,0,1,0,0,1,3,1,2,1,2,"0022000001"
"1627747","1627752","1628386","1629013","203915","1627737","1629672","1629673","202954","203952",1610612751,1610612744,4,4,1,1,0,1,2,1,0,0,1,3,1,3,1,2,"0022000001"
"1627747","1627752","1628971","1629617","201145","1627814","1629673","1630164","202954","203952",1610612751,1610612744,2,2,1,0,1,1,0,0,0,0,0,2,0,1,2,2,"0022000001"
"1627747","1627752","1629013","201599","203915","1627737","1629672","1629673","202954","203952",1610612751,1610612744,2,1,1,0,0,1,0,0,0,0,0,0,0,0,2,2,"0022000001"
"1627747","1627752","1629013","201599","203915","1629308","1629673","1630164","202954","203952",1610612751,1610612744,0,2,1,0,0,2,0,0,2,1,0,0,0,0,0,0,"0022000001"
"1627747","1627789","1628971","1629066","1629617","1627814","1628539","1629673","1630164","202954",1610612751,1610612744,3,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,"0022000001"
"1627747","1628386","1629013","201142","202681","1626162","1626172","1627814","201939","203145",1610612751,1610612744,2,4,1,0,0,1,0,0,1,0,0,2,0,0,2,2,"0022000001"
"1627747","1628386","1629013","201142","202681","1626162","1626172","1629672","201939","203145",1610612751,1610612744,11,7,1,0,1,3,0,2,0,1,2,4,1,1,6,8,"0022000001"
"1627747","1628386","1629013","201145","202681","1626162","1626172","1627814","201939","203145",1610612751,1610612744,6,2,1,0,0,0,0,2,0,0,2,2,2,2,0,0,"0022000001"
"1627747","201142","201145","202681","203925","1626162","1629308","1630164","201939","202954",1610612751,1610612744,2,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,"0022000001"
"1627747","201142","201145","202681","203925","1626162","1629308","1630164","201939","203952",1610612751,1610612744,5,6,1,0,1,1,0,1,1,2,2,6,1,3,0,0,"0022000001"
"1627747","201142","201145","202681","203925","1626162","1630164","201939","202954","203952",1610612751,1610612744,2,2,1,1,0,0,1,0,1,1,1,1,0,0,0,0,"0022000001"
"1627789","1628971","1629066","1629617","204020","1627814","1628539","1629673","1630164","202954",1610612751,1610612744,9,13,1,2,3,3,0,1,3,3,4,13,1,5,0,0,"0022000001"
"1628386","201142","202681","203915","203925","1626162","1626172","1629672","201939","203145",1610612751,1610612744,5,3,1,1,0,1,0,0,0,0,2,3,1,2,0,0,"0022000001"
"201142","201599","202681","203915","203925","1626162","1626172","1629308","201939","203952",1610612751,1610612744,7,4,1,2,1,0,0,1,0,1,3,5,1,2,0,0,"0022000001"
"201142","201599","202681","203915","203925","1626162","1626172","1629672","201939","203952",1610612751,1610612744,5,3,1,1,0,2,1,0,1,1,2,2,1,1,0,0,"0022000001"
"201142","201599","202681","203915","203925","1626162","1629308","1630164","201939","202954",1610612751,1610612744,4,7,1,0,2,3,0,0,2,1,2,7,0,2,0,0,"0022000001"
"201142","201599","202681","203915","203925","1626162","1629308","1630164","201939","203952",1610612751,1610612744,14,10,1,4,1,6,1,1,1,2,4,8,0,0,6,8,"0022000001"
"201142","201599","202681","203915","203925","1626162","1629672","1630164","201939","203952",1610612751,1610612744,18,12,1,5,1,6,0,0,1,2,7,13,3,7,1,1,"0022000001"
"201142","201599","202681","203915","203925","1629308","1629673","1630164","202954","203952",1610612751,1610612744,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"0022000001"
"1626162","1626172","1629672","201939","203145","1627747","1627752","1628386","1629013","201145",1610612744,1610612751,4,2,0,2,0,0,0,1,0,0,2,2,0,0,0,0,"0022000001"
"1626172","1627814","201939","203145","203952","1627747","1627752","1628386","1629013","201145",1610612744,1610612751,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0022000001"
"1627737","1627814","201939","203145","203952","1627747","1627752","1628386","1629013","201145",1610612744,1610612751,8,4,0,2,1,1,0,1,0,1,3,7,2,3,0,0,"0022000001"
