"offensePlayer1Id","offensePlayer2Id","offensePlayer3Id","offensePlayer4Id","offensePlayer5Id","defensePlayer1Id","defensePlayer2Id","defensePlayer3Id","defensePlayer4Id","defensePlayer5Id","offenseTeam","defenseTeam","points","possessions","home","ast","oreb","dreb","blk","stl","tov","pf","fgm","fga","x3m","x3a","ftm","fta","id"
"101139","200789","202388","203092","2575","101110","202348","202686","202698","2457",1610612739,1610612764,5,5,1,1,1,1,0,1,1,0,1,2,0,0,3,6,"0021200001"
"101139","200789","202388","203092","2575","101110","202348","202698","2457","2853",1610612739,1610612764,0,5,1,0,0,1,2,0,3,1,0,2,0,0,0,0,"0021200001"
"101139","200789","202388","203092","2760","101110","202348","202686","2457","2853",1610612739,1610612764,3,2,1,1,1,0,0,0,1,0,1,2,1,2,0,0,"0021200001"
"101139","200789","202388","2575","2760","101110","202348","202686","202698","2457",1610612739,1610612764,0,2,1,0,1,1,0,0,1,2,0,2,0,1,0,0,"0021200001"
"101139","200789","202388","2575","2760","101110","202348","202698","2457","2731",1610612739,1610612764,2,3,1,0,0,2,0,0,1,1,1,2,0,1,0,0,"0021200001"
"101139","200789","202681","202684","203092","201985","202344","202686","203078","2772",1610612739,1610612764,3,2,1,1,0,2,0,0,0,0,1,2,1,2,0,0,"0021200001"
"101139","200789","202681","203092","2575","101110","201985","202344","202348","202686",1610612739,1610612764,9,5,1,2,0,3,0,0,0,1,3,4,1,1,2,2,"0021200001"
"101139","200789","202681","203092","2760","101110","202348","202686","2457","2853",1610612739,1610612764,4,3,1,2,0,1,0,0,0,0,2,3,0,0,0,0,"0021200001"
"101139","202087","202681","202684","203092","201985","202344","203078","2731","2772",1610612739,1610612764,4,4,1,0,1,1,0,2,1,2,2,4,0,0,0,0,"0021200001"
"101139","202087","202681","203092","2760","101110","202348","202686","2457","2853",1610612739,1610612764,4,2,1,1,0,0,0,0,0,0,1,1,0,0,2,3,"0021200001"
"101139","202087","202681","203092","2760","202348","202686","2457","2772","2853",1610612739,1610612764,0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,"0021200001"
"200789","202087","202388","2575","2760","101110","202348","202698","2457","2853",1610612739,1610612764,0,4,1,0,0,1,0,0,1,1,0,3,0,3,0,0,"0021200001"
"202087","202388","202684","203079","2760","101110","202344","202348","2457","2731",1610612739,1610612764,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,"0021200001"
"202087","202388","202684","203079","2760","201985","202686","203078","2731","2772",1610612739,1610612764,4,4,1,0,0,1,1,0,1,2,1,2,0,0,2,2,"0021200001"
"202087","202681","202684","203079","2760","101110","201985","202344","202348","2731",1610612739,1610612764,4,4,1,1,0,1,1,1,1,1,2,3,0,0,0,0,"0021200001"
"202087","202681","202684","203079","2760","101110","201985","202348","202698","2853",1610612739,1610612764,2,3,1,0,1,2,0,0,1,1,1,3,0,2,0,0,"0021200001"
"202087","202681","202684","203079","2760","101110","201985","202698","203078","2853",1610612739,1610612764,4,4,1,0,0,3,0,0,2,2,1,1,0,0,2,2,"0021200001"
"202087","202681","202684","203079","2760","101110","202348","202698","2457","2853",1610612739,1610612764,6,3,1,1,1,1,0,0,0,0,2,4,1,1,1,1,"0021200001"
"202087","202681","202684","203079","2760","201985","202344","203078","2731","2772",1610612739,1610612764,19,16,1,5,6,6,1,2,3,1,8,19,2,3,1,2,"0021200001"
